id,attraction_name,attraction_url,rating,review_count,rating_details,category,description,city,languages_count,images_folder,images_path,images_count,images_list,status
1,Jardin Majorelle,/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,4.5,52038,"[{""rating"": ""Excellent"", ""count"": 28441}, {""rating"": ""Very good"", ""count"": 14602}, {""rating"": ""Average"", ""count"": 6532}, {""rating"": ""Poor"", ""count"": 1676}, {""rating"": ""Terrible"", ""count"": 818}]",Gardens,Gardens,Marrakech,28,attractions_images/jardin-majorelle/,"[""jardin-majorelle01.jpg"", ""jardin-majorelle02.jpg"", ""jardin-majorelle03.jpg"", ""jardin-majorelle04.jpg"", ""jardin-majorelle05.jpg""]",5,"['jardin-majorelle01.jpg', 'jardin-majorelle02.jpg', 'jardin-majorelle03.jpg', 'jardin-majorelle04.jpg', 'jardin-majorelle05.jpg']",MATCHED
2,Medina of Marrakesh,/Attraction_Review-g293734-d324126-Reviews-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,4.0,19355,"[{""rating"": ""Excellent"", ""count"": 9379}, {""rating"": ""Very good"", ""count"": 6347}, {""rating"": ""Average"", ""count"": 2243}, {""rating"": ""Poor"", ""count"": 688}, {""rating"": ""Terrible"", ""count"": 707}]",Historic Sites,Historic Sites Points of Interest & Landmarks,Marrakech,27,attractions_images/medina-of-marrakesh/,"[""medina-of-marrakesh01.jpg"", ""medina-of-marrakesh02.jpg"", ""medina-of-marrakesh03.jpg"", ""medina-of-marrakesh04.jpg"", ""medina-of-marrakesh05.jpg""]",5,"['medina-of-marrakesh01.jpg', 'medina-of-marrakesh02.jpg', 'medina-of-marrakesh03.jpg', 'medina-of-marrakesh04.jpg', 'medina-of-marrakesh05.jpg']",MATCHED
3,Bahia Palace,/Attraction_Review-g293734-d610173-Reviews-Bahia_Palace-Marrakech_Marrakech_Safi.html,4.5,14243,"[{""rating"": ""Excellent"", ""count"": 6549}, {""rating"": ""Very good"", ""count"": 5366}, {""rating"": ""Average"", ""count"": 1896}, {""rating"": ""Poor"", ""count"": 348}, {""rating"": ""Terrible"", ""count"": 98}]",Historic Sites,Historic Sites Architectural Buildings,Marrakech,26,attractions_images/bahia-palace/,"[""bahia-palace01.jpg"", ""bahia-palace02.jpg"", ""bahia-palace03.jpg"", ""bahia-palace04.jpg"", ""bahia-palace05.jpg""]",5,"['bahia-palace01.jpg', 'bahia-palace02.jpg', 'bahia-palace03.jpg', 'bahia-palace04.jpg', 'bahia-palace05.jpg']",MATCHED
4,Sahara Tours 4x4,/Attraction_Review-g293734-d2353510-Reviews-Sahara_Tours_4x4-Marrakech_Marrakech_Safi.html,5.0,2361,"[{""rating"": ""Excellent"", ""count"": 2299}, {""rating"": ""Very good"", ""count"": 58}, {""rating"": ""Average"", ""count"": 6}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Safaris,Safaris,Marrakech,17,attractions_images/sahara-tours-4x4/,"[""sahara-tours-4x401.jpg"", ""sahara-tours-4x402.jpg"", ""sahara-tours-4x403.jpg"", ""sahara-tours-4x404.jpg"", ""sahara-tours-4x405.jpg""]",5,"['sahara-tours-4x401.jpg', 'sahara-tours-4x402.jpg', 'sahara-tours-4x403.jpg', 'sahara-tours-4x404.jpg', 'sahara-tours-4x405.jpg']",MATCHED
5,Herbalism Marrakech,/Attraction_Review-g293734-d25386907-Reviews-Herbalism_Marrakech-Marrakech_Marrakech_Safi.html,5.0,394,"[{""rating"": ""Excellent"", ""count"": 395}, {""rating"": ""Very good"", ""count"": 7}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 1}]",Department Stores,Department Stores,Marrakech,11,attractions_images/herbalism-marrakech/,"[""herbalism-marrakech01.jpg"", ""herbalism-marrakech02.jpg"", ""herbalism-marrakech03.jpg"", ""herbalism-marrakech04.jpg"", ""herbalism-marrakech05.jpg""]",5,"['herbalism-marrakech01.jpg', 'herbalism-marrakech02.jpg', 'herbalism-marrakech03.jpg', 'herbalism-marrakech04.jpg', 'herbalism-marrakech05.jpg']",MATCHED
6,Morocco Excursions,/Attraction_Review-g293734-d6105931-Reviews-Morocco_Excursions-Marrakech_Marrakech_Safi.html,5.0,795,"[{""rating"": ""Excellent"", ""count"": 762}, {""rating"": ""Very good"", ""count"": 31}, {""rating"": ""Average"", ""count"": 2}, {""rating"": ""Poor"", ""count"": 2}, {""rating"": ""Terrible"", ""count"": 1}]",Safaris,Safaris,Marrakech,18,attractions_images/morocco-excursions/,"[""morocco-excursions01.jpg"", ""morocco-excursions02.jpg"", ""morocco-excursions03.jpg"", ""morocco-excursions04.jpg"", ""morocco-excursions05.jpg""]",5,"['morocco-excursions01.jpg', 'morocco-excursions02.jpg', 'morocco-excursions03.jpg', 'morocco-excursions04.jpg', 'morocco-excursions05.jpg']",MATCHED
7,Arib Voyages Day Tours,/Attraction_Review-g293734-d1997615-Reviews-Arib_Voyages_Day_Tours-Marrakech_Marrakech_Safi.html,5.0,934,"[{""rating"": ""Excellent"", ""count"": 916}, {""rating"": ""Very good"", ""count"": 31}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 3}, {""rating"": ""Terrible"", ""count"": 0}]",Safaris,Safaris,Marrakech,12,attractions_images/arib-voyages-day-tours/,"[""arib-voyages-day-tours01.jpg"", ""arib-voyages-day-tours02.jpg"", ""arib-voyages-day-tours03.jpg"", ""arib-voyages-day-tours04.jpg"", ""arib-voyages-day-tours05.jpg""]",5,"['arib-voyages-day-tours01.jpg', 'arib-voyages-day-tours02.jpg', 'arib-voyages-day-tours03.jpg', 'arib-voyages-day-tours04.jpg', 'arib-voyages-day-tours05.jpg']",MATCHED
8,Book Desert Tours,/Attraction_Review-g293734-d23972193-Reviews-Book_Desert_Tours-Marrakech_Marrakech_Safi.html,5.0,512,"[{""rating"": ""Excellent"", ""count"": 512}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Safaris,Safaris,Marrakech,6,attractions_images/book-desert-tours/,"[""book-desert-tours01.jpg"", ""book-desert-tours02.jpg"", ""book-desert-tours03.jpg"", ""book-desert-tours04.jpg"", ""book-desert-tours05.jpg""]",5,"['book-desert-tours01.jpg', 'book-desert-tours02.jpg', 'book-desert-tours03.jpg', 'book-desert-tours04.jpg', 'book-desert-tours05.jpg']",MATCHED
9,Centre D'art Le Real Mogador,/Attraction_Review-g298349-d16966310-Reviews-Centre_D_art_Le_Real_Mogador-Essaouira_Marrakech_Safi.html,5.0,148,"[{""rating"": ""Excellent"", ""count"": 137}, {""rating"": ""Very good"", ""count"": 10}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Art Galleries,Art Galleries Points of Interest & Landmarks,Essaouira,9,attractions_images/centre-dart-le-real-mogador/,[],0,[],NO_MATCH
10,Jarjeer Mules,/Attraction_Review-g2314506-d2691064-Reviews-Jarjeer_Mules-Oumnass_Marrakech_Safi.html,5.0,150,"[{""rating"": ""Excellent"", ""count"": 151}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Nature &,Nature & Wildlife Areas,Oumnass,5,attractions_images/jarjeer-mules/,"[""jarjeer-mules01.jpg"", ""jarjeer-mules02.jpg"", ""jarjeer-mules03.jpg"", ""jarjeer-mules04.jpg"", ""jarjeer-mules05.jpg""]",5,"['jarjeer-mules01.jpg', 'jarjeer-mules02.jpg', 'jarjeer-mules03.jpg', 'jarjeer-mules04.jpg', 'jarjeer-mules05.jpg']",MATCHED
